Time,Object,Action,Details,User,Name
6/12/2018 7:40,Gain Optimization v5,Gain Optimization v5 completed successfully,,kiosk_validation,
6/12/2018 7:40,Gain Optimization v5,Voltage=2042.500000 AreaPerIon=109.404696,,kiosk_validation,
6/12/2018 7:39,Gain Optimization v5,Setting detector voltage to 2042.500000,,kiosk_validation,
6/12/2018 7:39,Gain Optimization v5,Voltage=2035.100000 AreaPerIon=100.797711,,kiosk_validation,
6/12/2018 7:37,Gain Optimization v5,Setting detector voltage to 2035.100000,,kiosk_validation,
6/12/2018 7:37,Gain Optimization v5,Voltage adjustment required.  TargetAreaPerIon=110.000000 AreaPerIon=116.821457,,kiosk_validation,
6/12/2018 7:37,Gain Optimization v5,Voltage=2047.600000 AreaPerIon=116.821457,,kiosk_validation,
6/12/2018 7:36,Gain Optimization v5,Setting detector voltage to 2047.600000,,kiosk_validation,
6/12/2018 7:36,Gain Optimization v5,Gain Optimization v5 starting. Target AreaPerIon is 110.000000,,kiosk_validation,
6/12/2018 4:17,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/12/2018 4:17,Detector Measurement v5,Voltage=2047.600000 AreaPerIon=112.198880,,kiosk_validation,
6/12/2018 4:16,Detector Measurement v5,Setting detector voltage to 2047.600000,,kiosk_validation,
6/12/2018 4:16,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/12/2018 4:15,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/12/2018 4:15,Detector Measurement v5,Voltage=2047.600000 AreaPerIon=111.955388,,kiosk_validation,
6/12/2018 4:14,Detector Measurement v5,Setting detector voltage to 2047.600000,,kiosk_validation,
6/12/2018 4:14,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/12/2018 4:13,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/12/2018 4:13,Detector Measurement v5,Voltage=2047.600000 AreaPerIon=110.950461,,kiosk_validation,
6/12/2018 4:12,Detector Measurement v5,Setting detector voltage to 2047.600000,,kiosk_validation,
6/12/2018 4:12,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/12/2018 0:54,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/12/2018 0:54,Detector Measurement v5,Voltage=2047.600000 AreaPerIon=114.196869,,kiosk_validation,
6/12/2018 0:53,Detector Measurement v5,Setting detector voltage to 2047.600000,,kiosk_validation,
6/12/2018 0:53,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/12/2018 0:52,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/12/2018 0:52,Detector Measurement v5,Voltage=2047.600000 AreaPerIon=112.929836,,kiosk_validation,
6/12/2018 0:50,Detector Measurement v5,Setting detector voltage to 2047.600000,,kiosk_validation,
6/12/2018 0:50,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/12/2018 0:50,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/12/2018 0:50,Detector Measurement v5,Voltage=2047.600000 AreaPerIon=111.472547,,kiosk_validation,
6/12/2018 0:48,Detector Measurement v5,Setting detector voltage to 2047.600000,,kiosk_validation,
6/12/2018 0:48,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/11/2018 21:31,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/11/2018 21:31,Detector Measurement v5,Voltage=2047.600000 AreaPerIon=112.991894,,kiosk_validation,
6/11/2018 21:29,Detector Measurement v5,Setting detector voltage to 2047.600000,,kiosk_validation,
6/11/2018 21:29,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/11/2018 21:28,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/11/2018 21:28,Detector Measurement v5,Voltage=2047.600000 AreaPerIon=112.169386,,kiosk_validation,
6/11/2018 21:27,Detector Measurement v5,Setting detector voltage to 2047.600000,,kiosk_validation,
6/11/2018 21:27,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/11/2018 21:26,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/11/2018 21:26,Detector Measurement v5,Voltage=2047.600000 AreaPerIon=111.567011,,kiosk_validation,
6/11/2018 21:25,Detector Measurement v5,Setting detector voltage to 2047.600000,,kiosk_validation,
6/11/2018 21:25,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/11/2018 18:08,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/11/2018 18:08,Detector Measurement v5,Voltage=2047.600000 AreaPerIon=113.372208,,kiosk_validation,
6/11/2018 18:06,Detector Measurement v5,Setting detector voltage to 2047.600000,,kiosk_validation,
6/11/2018 18:06,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/11/2018 18:06,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/11/2018 18:06,Detector Measurement v5,Voltage=2047.600000 AreaPerIon=112.900946,,kiosk_validation,
6/11/2018 18:04,Detector Measurement v5,Setting detector voltage to 2047.600000,,kiosk_validation,
6/11/2018 18:04,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/11/2018 18:03,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/11/2018 18:03,Detector Measurement v5,Voltage=2047.600000 AreaPerIon=112.170128,,kiosk_validation,
6/11/2018 18:02,Detector Measurement v5,Setting detector voltage to 2047.600000,,kiosk_validation,
6/11/2018 18:02,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/11/2018 14:44,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/11/2018 14:44,Detector Measurement v5,Voltage=2047.600000 AreaPerIon=113.203914,,kiosk_validation,
6/11/2018 14:42,Detector Measurement v5,Setting detector voltage to 2047.600000,,kiosk_validation,
6/11/2018 14:42,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/11/2018 14:42,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/11/2018 14:42,Detector Measurement v5,Voltage=2047.600000 AreaPerIon=112.465455,,kiosk_validation,
6/11/2018 14:40,Detector Measurement v5,Setting detector voltage to 2047.600000,,kiosk_validation,
6/11/2018 14:40,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/11/2018 14:40,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/11/2018 14:40,Detector Measurement v5,Voltage=2047.600000 AreaPerIon=111.500561,,kiosk_validation,
6/11/2018 14:38,Detector Measurement v5,Setting detector voltage to 2047.600000,,kiosk_validation,
6/11/2018 14:38,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/11/2018 11:20,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/11/2018 11:20,Detector Measurement v5,Voltage=2047.600000 AreaPerIon=111.870057,,kiosk_validation,
6/11/2018 11:19,Detector Measurement v5,Setting detector voltage to 2047.600000,,kiosk_validation,
6/11/2018 11:19,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/11/2018 11:18,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/11/2018 11:18,Detector Measurement v5,Voltage=2047.600000 AreaPerIon=112.249267,,kiosk_validation,
6/11/2018 11:17,Detector Measurement v5,Setting detector voltage to 2047.600000,,kiosk_validation,
6/11/2018 11:17,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/11/2018 11:16,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/11/2018 11:16,Detector Measurement v5,Voltage=2047.600000 AreaPerIon=111.146561,,kiosk_validation,
6/11/2018 11:15,Detector Measurement v5,Setting detector voltage to 2047.600000,,kiosk_validation,
6/11/2018 11:15,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/9/2018 23:16,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/9/2018 23:16,Detector Measurement v5,Voltage=2047.600000 AreaPerIon=111.431939,,kiosk_validation,
6/9/2018 23:14,Detector Measurement v5,Setting detector voltage to 2047.600000,,kiosk_validation,
6/9/2018 23:14,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/9/2018 23:14,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/9/2018 23:14,Detector Measurement v5,Voltage=2047.600000 AreaPerIon=111.378044,,kiosk_validation,
6/9/2018 23:12,Detector Measurement v5,Setting detector voltage to 2047.600000,,kiosk_validation,
6/9/2018 23:12,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/9/2018 23:12,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/9/2018 23:12,Detector Measurement v5,Voltage=2047.600000 AreaPerIon=110.724492,,kiosk_validation,
6/9/2018 23:10,Detector Measurement v5,Setting detector voltage to 2047.600000,,kiosk_validation,
6/9/2018 23:10,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/9/2018 19:52,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/9/2018 19:52,Detector Measurement v5,Voltage=2047.600000 AreaPerIon=111.597875,,kiosk_validation,
6/9/2018 19:51,Detector Measurement v5,Setting detector voltage to 2047.600000,,kiosk_validation,
6/9/2018 19:51,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/9/2018 19:50,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/9/2018 19:50,Detector Measurement v5,Voltage=2047.600000 AreaPerIon=110.924753,,kiosk_validation,
6/9/2018 19:49,Detector Measurement v5,Setting detector voltage to 2047.600000,,kiosk_validation,
6/9/2018 19:49,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
