Name,Type,Area,Height,FWHH (s),Similarity,1st Dimension Time (s),2nd Dimension Time (s),Peak S/N,Quant S/N,Sample
Perfluoronaphthalene,Unknown,1536813,119114,0.703,827,167.145,0.000,872,860,OFN_+000v_a L13-500 pg/uL Split 250-1 (2 pg on Col) BT-PV2 1D:3
OFN,Target,1847085,143259,0.786,745,167.169,0.000,703,688,OFN_+000v_a L13-500 pg/uL Split 250-1 (2 pg on Col) BT-PV2 1D:3
