Name,Type,Area,Height,FWHH (s),Similarity,1st Dimension Time (s),2nd Dimension Time (s),Peak S/N,Quant S/N,Sample
OFN,Target,106515,8778,0.859,306,160.113,0.000,9,10,OFN_+350v_a L7-5 pg/uL Split 250-1 (20 fg on Col) BT-PV1 1D:2
Perfluoronaphthalene,Unknown,86890,7223,0.651,350,160.188,0.000,10,11,OFN_+350v_a L7-5 pg/uL Split 250-1 (20 fg on Col) BT-PV1 1D:2
