Name,Type,Area,Height,FWHH (s),Similarity,1st Dimension Time (s),2nd Dimension Time (s),Peak S/N,Quant S/N,Sample
OFN,Target,72817137,5763163,0.772,794,160.113,0.000,4234,5190,OFN_+350v_a L16-5000 pg/uL Split 250-1 (20 pg on Col) BT-PV1 1D
Perfluoronaphthalene,Unknown,58461278,4628709,0.694,847,160.134,0.000,8385,6171,OFN_+350v_a L16-5000 pg/uL Split 250-1 (20 pg on Col) BT-PV1 1D
