Name,Type,Area,Height,FWHH (s),Similarity,1st Dimension Time (s),2nd Dimension Time (s),Peak S/N,Quant S/N,Sample
OFN,Target,181098,12219,0.963,280,160.172,0.000,14,16,OFN_+350v_a L8-10 pg/uL Split 250-1 (40 fg on Col) BT-PV1 1D
Perfluoronaphthalene,Unknown,147236,9954,0.766,457,160.179,0.000,15,19,OFN_+350v_a L8-10 pg/uL Split 250-1 (40 fg on Col) BT-PV1 1D
