Name,Type,Area,Height,FWHH (s),Similarity,1st Dimension Time (s),2nd Dimension Time (s),Peak S/N,Quant S/N,Sample
OFN,Target,126727099,10244606,0.760,792,160.113,0.000,6710,9615,OFN_+350v_a L19-50000 pg/uL Split 250-1 (200 pg on Col) BT-PV1 1D
Perfluoronaphthalene,Unknown,101262013,8183425,0.681,845,160.118,0.000,13539,10779,OFN_+350v_a L19-50000 pg/uL Split 250-1 (200 pg on Col) BT-PV1 1D
