Name,Type,Area,Height,FWHH (s),Similarity,1st Dimension Time (s),2nd Dimension Time (s),Peak S/N,Quant S/N,Sample
Perfluoronaphthalene,Unknown,22619121,1801076,0.692,863,160.159,0.000,2842,2485,OFN_+350v_a L16-5000 pg/uL Split 250-1 (20 pg on Col) BT-PV1 1D:3
OFN,Target,28149763,2240887,0.769,793,160.172,0.000,1888,2265,OFN_+350v_a L16-5000 pg/uL Split 250-1 (20 pg on Col) BT-PV1 1D:3
