Name,Type,Area,Height,FWHH (s),Similarity,1st Dimension Time (s),2nd Dimension Time (s),Peak S/N,Quant S/N,Sample
Perfluoronaphthalene,Unknown,542437649,42005579,0.708,822,160.088,0.000,15568,32870,OFN_+350v_a L22-500000 pg/uL Split 250-1 (2 ng on Col) BT-PV1 1D:4
OFN,Target,682535264,52804496,0.786,790,160.113,0.000,22918,28264,OFN_+350v_a L22-500000 pg/uL Split 250-1 (2 ng on Col) BT-PV1 1D:4
