Time,Object,Action,Details,User,Name
6/26/2018 13:27,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/26/2018 13:27,Detector Measurement v5,Voltage=2424.900000 AreaPerIon=401.274031,,kiosk_validation,
6/26/2018 13:25,Detector Measurement v5,Setting detector voltage to 2424.900000,,kiosk_validation,
6/26/2018 13:25,Detector Measurement v5,Setting detector voltage to 2074.900000,,kiosk_validation,
6/26/2018 13:25,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/26/2018 13:24,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/26/2018 13:24,Detector Measurement v5,Voltage=2424.900000 AreaPerIon=401.552159,,kiosk_validation,
6/26/2018 13:23,Detector Measurement v5,Setting detector voltage to 2424.900000,,kiosk_validation,
6/26/2018 13:22,Detector Measurement v5,Setting detector voltage to 2074.900000,,kiosk_validation,
6/26/2018 13:22,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/26/2018 13:22,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/26/2018 13:22,Detector Measurement v5,Voltage=2424.900000 AreaPerIon=409.798327,,kiosk_validation,
6/26/2018 13:20,Detector Measurement v5,Setting detector voltage to 2424.900000,,kiosk_validation,
6/26/2018 13:20,Detector Measurement v5,Setting detector voltage to 2074.900000,,kiosk_validation,
6/26/2018 13:20,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/26/2018 9:07,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/26/2018 9:07,Detector Measurement v5,Voltage=2424.900000 AreaPerIon=417.732371,,kiosk_validation,
6/26/2018 9:05,Detector Measurement v5,Setting detector voltage to 2424.900000,,kiosk_validation,
6/26/2018 9:05,Gas valve manager,Opening tune compound valve,,kiosk_validation,
6/26/2018 9:05,Tune compound valve schedule,Setting tune compound valve state to Open,,kiosk_validation,
6/26/2018 9:05,Filament schedule,Turning filament on,,kiosk_validation,
6/26/2018 9:05,Detector Measurement v5,Setting detector voltage to 2074.900000,,kiosk_validation,
6/26/2018 9:05,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/26/2018 9:05,Gas valve manager,Opening tune compound valve,,kiosk_validation,
6/26/2018 9:04,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/26/2018 9:04,Detector Measurement v5,Voltage=2424.900000 AreaPerIon=413.268304,,kiosk_validation,
6/26/2018 9:03,Detector Measurement v5,Setting detector voltage to 2424.900000,,kiosk_validation,
