Name,Type,Area,Height,FWHH (s),Similarity,1st Dimension Time (s),2nd Dimension Time (s),Peak S/N,Quant S/N,Sample
OFN,Target,7552297,594004,0.773,744,160.172,0.000,541,557,OFN_+350v_a L13-500 pg/uL Split 250-1 (2 pg on Col) BT-PV1 1D:3
Perfluoronaphthalene,Unknown,6143375,484103,0.695,848,160.19,0.000,778,748,OFN_+350v_a L13-500 pg/uL Split 250-1 (2 pg on Col) BT-PV1 1D:3
