Name,Type,Area,Height,FWHH (s),Similarity,1st Dimension Time (s),2nd Dimension Time (s),Peak S/N,Quant S/N,Sample
Perfluoronaphthalene,Unknown,23163397,1812188,0.703,837,160.143,0.000,2210,2602,OFN_+350v_a L15-2000 pg/uL Split 250-1 (8 pg on Col) BT-PV1 1D
OFN,Target,28701118,2249006,0.779,756,160.172,0.000,1865,2137,OFN_+350v_a L15-2000 pg/uL Split 250-1 (8 pg on Col) BT-PV1 1D
