Name,Type,Area,Height,FWHH (s),Similarity,1st Dimension Time (s),2nd Dimension Time (s),Peak S/N,Quant S/N,Sample
OFN,Target,3170155,251990,0.780,656,160.172,0.000,310,283,OFN_+350v_a L12-200 pg/uL Split 250-1 (800 fg on Col) BT-PV1 1D
Perfluoronaphthalene,Unknown,2574565,204764,0.692,658,160.178,0.000,294,323,OFN_+350v_a L12-200 pg/uL Split 250-1 (800 fg on Col) BT-PV1 1D
