Name,Type,Area,Height,FWHH (s),Similarity,1st Dimension Time (s),2nd Dimension Time (s),Peak S/N,Quant S/N,Sample
OFN,Target,863682782,66139407,0.793,794,160.113,0.000,27010,38391,OFN_+350v_a L22-500000 pg/uL Split 250-1 (2 ng on Col) BT-PV1 1D:3
Perfluoronaphthalene,Unknown,687830658,52714837,0.721,822,160.123,0.000,17628,37261,OFN_+350v_a L22-500000 pg/uL Split 250-1 (2 ng on Col) BT-PV1 1D:3
