Name,Type,Area,Height,FWHH (s),Similarity,1st Dimension Time (s),2nd Dimension Time (s),Peak S/N,Quant S/N,Sample
OFN,Target,980832570,75048207,0.793,791,160.113,0.000,28539,42015,OFN_+350v_a L22-500000 pg/uL Split 250-1 (2 ng on Col) BT-PV1 1D:5
Perfluoronaphthalene,Unknown,780328394,59730336,0.721,826,160.12,0.000,21557,41031,OFN_+350v_a L22-500000 pg/uL Split 250-1 (2 ng on Col) BT-PV1 1D:5
