Name,Type,Area,Height,FWHH (s),Similarity,1st Dimension Time (s),2nd Dimension Time (s),Peak S/N,Quant S/N,Sample
OFN,Target,942022743,72237432,0.792,790,160.113,0.000,30122,36359,OFN_+350v_a L22-500000 pg/uL Split 250-1 (2 ng on Col) BT-PV1 1D
Perfluoronaphthalene,Unknown,750938940,57627394,0.721,822,160.118,0.000,21173,39328,OFN_+350v_a L22-500000 pg/uL Split 250-1 (2 ng on Col) BT-PV1 1D
