Name,Type,Area,Height,FWHH (s),Similarity,1st Dimension Time (s),2nd Dimension Time (s),Peak S/N,Quant S/N,Sample
Perfluoronaphthalene,Unknown,22554751,1802612,0.681,862,160.145,0.000,1783,2487,OFN_+350v_a L15-2000 pg/uL Split 250-1 (8 pg on Col) BT-PV1 1D:2
OFN,Target,28012785,2238248,0.767,812,160.172,0.000,1941,2045,OFN_+350v_a L15-2000 pg/uL Split 250-1 (8 pg on Col) BT-PV1 1D:2
