Time,Object,Action,Details,User,Name
6/15/2018 7:06,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/15/2018 7:06,Detector Measurement v5,Voltage=2208.700000 AreaPerIon=216.924671,,kiosk_validation,
6/15/2018 7:05,Detector Measurement v5,Setting detector voltage to 2208.700000,,kiosk_validation,
6/15/2018 7:04,Detector Measurement v5,Setting detector voltage to 2058.700000,,kiosk_validation,
6/15/2018 7:04,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/15/2018 7:04,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/15/2018 7:04,Detector Measurement v5,Voltage=2208.700000 AreaPerIon=219.463232,,kiosk_validation,
6/15/2018 7:03,Detector Measurement v5,Setting detector voltage to 2208.700000,,kiosk_validation,
6/15/2018 7:02,Detector Measurement v5,Setting detector voltage to 2058.700000,,kiosk_validation,
6/15/2018 7:02,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/15/2018 7:02,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/15/2018 7:02,Detector Measurement v5,Voltage=2208.700000 AreaPerIon=222.907988,,kiosk_validation,
6/15/2018 7:00,Detector Measurement v5,Setting detector voltage to 2208.700000,,kiosk_validation,
6/15/2018 7:00,Detector Measurement v5,Setting detector voltage to 2058.700000,,kiosk_validation,
6/15/2018 7:00,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/15/2018 3:31,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/15/2018 3:31,Detector Measurement v5,Voltage=2208.700000 AreaPerIon=218.361865,,kiosk_validation,
6/15/2018 3:30,Detector Measurement v5,Setting detector voltage to 2208.700000,,kiosk_validation,
6/15/2018 3:30,Gas valve manager,Opening tune compound valve,,kiosk_validation,
6/15/2018 3:30,Detector Measurement v5,Setting detector voltage to 2058.700000,,kiosk_validation,
6/15/2018 3:30,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/15/2018 3:29,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/15/2018 3:29,Detector Measurement v5,Voltage=2208.700000 AreaPerIon=220.986860,,kiosk_validation,
6/15/2018 3:28,Detector Measurement v5,Setting detector voltage to 2208.700000,,kiosk_validation,
6/15/2018 3:28,Detector Measurement v5,Setting detector voltage to 2058.700000,,kiosk_validation,
6/15/2018 3:28,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/15/2018 3:27,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/15/2018 3:27,Detector Measurement v5,Voltage=2208.700000 AreaPerIon=225.734235,,kiosk_validation,
6/15/2018 3:26,Detector Measurement v5,Setting detector voltage to 2208.700000,,kiosk_validation,
6/15/2018 3:25,Detector Measurement v5,Setting detector voltage to 2058.700000,,kiosk_validation,
6/15/2018 3:25,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/15/2018 0:09,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/15/2018 0:09,Detector Measurement v5,Voltage=2208.700000 AreaPerIon=222.226193,,kiosk_validation,
6/15/2018 0:08,Detector Measurement v5,Setting detector voltage to 2208.700000,,kiosk_validation,
6/15/2018 0:08,Detector Measurement v5,Setting detector voltage to 2058.700000,,kiosk_validation,
6/15/2018 0:08,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/15/2018 0:07,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/15/2018 0:07,Detector Measurement v5,Voltage=2208.700000 AreaPerIon=222.468527,,kiosk_validation,
6/15/2018 0:06,Detector Measurement v5,Setting detector voltage to 2208.700000,,kiosk_validation,
6/15/2018 0:05,Detector Measurement v5,Setting detector voltage to 2058.700000,,kiosk_validation,
6/15/2018 0:05,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/15/2018 0:05,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/15/2018 0:05,Detector Measurement v5,Voltage=2208.700000 AreaPerIon=228.678721,,kiosk_validation,
6/15/2018 0:04,Detector Measurement v5,Setting detector voltage to 2208.700000,,kiosk_validation,
6/15/2018 0:03,Detector Measurement v5,Setting detector voltage to 2058.700000,,kiosk_validation,
6/15/2018 0:03,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/14/2018 20:47,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/14/2018 20:47,Detector Measurement v5,Voltage=2208.700000 AreaPerIon=222.724731,,kiosk_validation,
6/14/2018 20:45,Detector Measurement v5,Setting detector voltage to 2208.700000,,kiosk_validation,
6/14/2018 20:45,Detector Measurement v5,Setting detector voltage to 2058.700000,,kiosk_validation,
6/14/2018 20:45,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/14/2018 20:44,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/14/2018 20:44,Detector Measurement v5,Voltage=2208.700000 AreaPerIon=225.492367,,kiosk_validation,
6/14/2018 20:43,Detector Measurement v5,Setting detector voltage to 2208.700000,,kiosk_validation,
6/14/2018 20:43,Detector Measurement v5,Setting detector voltage to 2058.700000,,kiosk_validation,
6/14/2018 20:43,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/14/2018 20:43,Gas valve manager,Opening tune compound valve,,kiosk_validation,
6/14/2018 20:43,Power System,Finished switching to operational mode,,kiosk_validation,
6/14/2018 20:42,Power System,Began switching to operational mode,,kiosk_validation,
6/14/2018 20:42,Gas valve manager,Closing tune compound valve,,kiosk_validation,
6/14/2018 20:42,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/14/2018 20:42,Detector Measurement v5,Voltage=2208.700000 AreaPerIon=226.680516,,kiosk_validation,
6/14/2018 20:41,Detector Measurement v5,Setting detector voltage to 2208.700000,,kiosk_validation,
6/14/2018 20:41,Gas valve manager,Opening tune compound valve,,kiosk_validation,
6/14/2018 20:41,Tune compound valve schedule,Setting tune compound valve state to Open,,kiosk_validation,
6/14/2018 20:41,Filament schedule,Turning filament on,,kiosk_validation,
6/14/2018 20:41,Detector Measurement v5,Setting detector voltage to 2058.700000,,kiosk_validation,
6/14/2018 20:41,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/14/2018 20:35,Gas valve manager,Opening tune compound valve,,kiosk_validation,
6/14/2018 20:35,Power System,Finished switching to operational mode,,kiosk_validation,
6/14/2018 20:35,Power System,Began switching to operational mode,,kiosk_validation,
6/14/2018 20:05,Filament schedule,Turning filament on,,kiosk_validation,
6/14/2018 20:03,Tune compound valve schedule,Setting tune compound valve state to Closed,,kiosk_validation,
6/14/2018 20:03,Filament schedule,Turning filament off,,kiosk_validation,
6/14/2018 19:56,Power System,Finished switching to operational mode,,kiosk_validation,
6/14/2018 19:55,Power System,Began switching to operational mode,,kiosk_validation,
6/14/2018 19:26,Filament schedule,Turning filament on,,kiosk_validation,
6/14/2018 19:24,Tune compound valve schedule,Setting tune compound valve state to Closed,,kiosk_validation,
6/14/2018 19:24,Filament schedule,Turning filament off,,kiosk_validation,
6/14/2018 17:25,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/14/2018 17:25,Detector Measurement v5,Voltage=2208.700000 AreaPerIon=224.163624,,kiosk_validation,
6/14/2018 17:24,Detector Measurement v5,Setting detector voltage to 2208.700000,,kiosk_validation,
6/14/2018 17:23,Detector Measurement v5,Setting detector voltage to 2058.700000,,kiosk_validation,
6/14/2018 17:23,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/14/2018 17:23,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/14/2018 17:23,Detector Measurement v5,Voltage=2208.700000 AreaPerIon=225.594984,,kiosk_validation,
6/14/2018 17:21,Detector Measurement v5,Setting detector voltage to 2208.700000,,kiosk_validation,
6/14/2018 17:21,Detector Measurement v5,Setting detector voltage to 2058.700000,,kiosk_validation,
6/14/2018 17:21,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/14/2018 17:20,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/14/2018 17:20,Detector Measurement v5,Voltage=2208.700000 AreaPerIon=225.408917,,kiosk_validation,
6/14/2018 17:19,Detector Measurement v5,Setting detector voltage to 2208.700000,,kiosk_validation,
6/14/2018 17:19,Detector Measurement v5,Setting detector voltage to 2058.700000,,kiosk_validation,
6/14/2018 17:19,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/14/2018 14:02,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/14/2018 14:02,Detector Measurement v5,Voltage=2208.700000 AreaPerIon=231.560029,,kiosk_validation,
6/14/2018 14:01,Detector Measurement v5,Setting detector voltage to 2208.700000,,kiosk_validation,
6/14/2018 14:01,Gas valve manager,Opening tune compound valve,,kiosk_validation,
6/14/2018 14:01,Detector Measurement v5,Setting detector voltage to 2058.700000,,kiosk_validation,
6/14/2018 14:01,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/14/2018 14:00,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/14/2018 14:00,Detector Measurement v5,Voltage=2208.700000 AreaPerIon=233.356347,,kiosk_validation,
6/14/2018 13:59,Detector Measurement v5,Setting detector voltage to 2208.700000,,kiosk_validation,
6/14/2018 13:58,Detector Measurement v5,Setting detector voltage to 2058.700000,,kiosk_validation,
6/14/2018 13:58,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/14/2018 13:58,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/14/2018 13:58,Detector Measurement v5,Voltage=2208.700000 AreaPerIon=239.244108,,kiosk_validation,
6/14/2018 13:57,Detector Measurement v5,Setting detector voltage to 2208.700000,,kiosk_validation,
6/14/2018 13:56,Detector Measurement v5,Setting detector voltage to 2058.700000,,kiosk_validation,
6/14/2018 13:56,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/14/2018 10:40,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/14/2018 10:40,Detector Measurement v5,Voltage=2208.700000 AreaPerIon=230.664852,,kiosk_validation,
6/14/2018 10:38,Detector Measurement v5,Setting detector voltage to 2208.700000,,kiosk_validation,
6/14/2018 10:38,Detector Measurement v5,Setting detector voltage to 2058.700000,,kiosk_validation,
6/14/2018 10:38,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/14/2018 10:38,Gas valve manager,Opening tune compound valve,,kiosk_validation,
6/14/2018 10:38,Power System,Finished switching to operational mode,,kiosk_validation,
6/14/2018 10:38,Power System,Began switching to operational mode,,kiosk_validation,
6/14/2018 10:37,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/14/2018 10:37,Detector Measurement v5,Voltage=2208.700000 AreaPerIon=231.762212,,kiosk_validation,
6/14/2018 10:36,Detector Measurement v5,Setting detector voltage to 2208.700000,,kiosk_validation,
6/14/2018 10:36,Detector Measurement v5,Setting detector voltage to 2058.700000,,kiosk_validation,
6/14/2018 10:36,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/14/2018 10:35,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/14/2018 10:35,Detector Measurement v5,Voltage=2208.700000 AreaPerIon=233.821760,,kiosk_validation,
6/14/2018 10:34,Detector Measurement v5,Setting detector voltage to 2208.700000,,kiosk_validation,
6/14/2018 10:34,Detector Measurement v5,Setting detector voltage to 2058.700000,,kiosk_validation,
6/14/2018 10:34,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/14/2018 7:17,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/14/2018 7:17,Detector Measurement v5,Voltage=2208.700000 AreaPerIon=238.559204,,kiosk_validation,
6/14/2018 7:15,Detector Measurement v5,Setting detector voltage to 2208.700000,,kiosk_validation,
6/14/2018 7:15,Detector Measurement v5,Setting detector voltage to 2058.700000,,kiosk_validation,
6/14/2018 7:15,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/14/2018 7:14,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/14/2018 7:14,Detector Measurement v5,Voltage=2208.700000 AreaPerIon=238.749176,,kiosk_validation,
6/14/2018 7:13,Detector Measurement v5,Setting detector voltage to 2208.700000,,kiosk_validation,
6/14/2018 7:13,Gas valve manager,Opening tune compound valve,,kiosk_validation,
6/14/2018 7:13,Tune compound valve schedule,Setting tune compound valve state to Open,,kiosk_validation,
6/14/2018 7:13,Filament schedule,Turning filament on,,kiosk_validation,
6/14/2018 7:13,Detector Measurement v5,Setting detector voltage to 2058.700000,,kiosk_validation,
6/14/2018 7:13,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/14/2018 7:13,Gas valve manager,Opening tune compound valve,,kiosk_validation,
6/14/2018 7:13,Power System,Finished switching to operational mode,,kiosk_validation,
6/14/2018 7:13,Power System,Began switching to operational mode,,kiosk_validation,
6/14/2018 7:12,Gas valve manager,Closing tune compound valve,,kiosk_validation,
6/14/2018 7:12,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/14/2018 7:12,Detector Measurement v5,Voltage=2208.700000 AreaPerIon=242.727496,,kiosk_validation,
6/14/2018 7:11,Detector Measurement v5,Setting detector voltage to 2208.700000,,kiosk_validation,
6/14/2018 7:11,Gas valve manager,Opening tune compound valve,,kiosk_validation,
6/14/2018 7:11,Tune compound valve schedule,Setting tune compound valve state to Open,,kiosk_validation,
6/14/2018 7:11,Detector Measurement v5,Setting detector voltage to 2058.700000,,kiosk_validation,
6/14/2018 7:11,Filament schedule,Turning filament on,,kiosk_validation,
6/14/2018 7:11,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/14/2018 7:05,Gas valve manager,Opening tune compound valve,,kiosk_validation,
6/14/2018 7:05,Power System,Finished switching to operational mode,,kiosk_validation,
6/14/2018 7:05,Power System,Began switching to operational mode,,kiosk_validation,
6/14/2018 6:35,Filament schedule,Turning filament on,,kiosk_validation,
6/14/2018 6:33,Tune compound valve schedule,Setting tune compound valve state to Closed,,kiosk_validation,
6/14/2018 3:54,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/14/2018 3:54,Detector Measurement v5,Voltage=2208.700000 AreaPerIon=245.428833,,kiosk_validation,
6/14/2018 3:53,Detector Measurement v5,Setting detector voltage to 2208.700000,,kiosk_validation,
6/14/2018 3:53,Detector Measurement v5,Setting detector voltage to 2058.700000,,kiosk_validation,
6/14/2018 3:53,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/14/2018 3:52,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/14/2018 3:52,Detector Measurement v5,Voltage=2208.700000 AreaPerIon=244.196935,,kiosk_validation,
6/14/2018 3:51,Detector Measurement v5,Setting detector voltage to 2208.700000,,kiosk_validation,
6/14/2018 3:50,Detector Measurement v5,Setting detector voltage to 2058.700000,,kiosk_validation,
6/14/2018 3:50,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/14/2018 3:50,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/14/2018 3:50,Detector Measurement v5,Voltage=2208.700000 AreaPerIon=247.223953,,kiosk_validation,
6/14/2018 3:48,Detector Measurement v5,Setting detector voltage to 2208.700000,,kiosk_validation,
6/14/2018 3:48,Detector Measurement v5,Setting detector voltage to 2058.700000,,kiosk_validation,
6/14/2018 3:48,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/14/2018 0:32,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/14/2018 0:32,Detector Measurement v5,Voltage=2208.700000 AreaPerIon=252.845957,,kiosk_validation,
6/14/2018 0:30,Detector Measurement v5,Setting detector voltage to 2208.700000,,kiosk_validation,
6/14/2018 0:30,Gas valve manager,Opening tune compound valve,,kiosk_validation,
6/14/2018 0:30,Detector Measurement v5,Setting detector voltage to 2058.700000,,kiosk_validation,
6/14/2018 0:30,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/14/2018 0:29,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/14/2018 0:29,Detector Measurement v5,Voltage=2208.700000 AreaPerIon=253.850377,,kiosk_validation,
6/14/2018 0:28,Detector Measurement v5,Setting detector voltage to 2208.700000,,kiosk_validation,
6/14/2018 0:28,Detector Measurement v5,Setting detector voltage to 2058.700000,,kiosk_validation,
6/14/2018 0:28,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/14/2018 0:27,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/14/2018 0:27,Detector Measurement v5,Voltage=2208.700000 AreaPerIon=256.069265,,kiosk_validation,
6/14/2018 0:26,Detector Measurement v5,Setting detector voltage to 2208.700000,,kiosk_validation,
6/14/2018 0:26,Detector Measurement v5,Setting detector voltage to 2058.700000,,kiosk_validation,
6/14/2018 0:26,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/13/2018 21:08,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/13/2018 21:08,Detector Measurement v5,Voltage=2208.700000 AreaPerIon=257.348413,,kiosk_validation,
6/13/2018 21:07,Detector Measurement v5,Setting detector voltage to 2208.700000,,kiosk_validation,
6/13/2018 21:06,Detector Measurement v5,Setting detector voltage to 2058.700000,,kiosk_validation,
6/13/2018 21:06,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/13/2018 21:06,Gas valve manager,Opening tune compound valve,,kiosk_validation,
6/13/2018 21:06,Power System,Finished switching to operational mode,,kiosk_validation,
6/13/2018 21:06,Power System,Began switching to operational mode,,kiosk_validation,
6/13/2018 21:06,Gas valve manager,Closing tune compound valve,,kiosk_validation,
6/13/2018 21:06,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/13/2018 21:06,Detector Measurement v5,Voltage=2208.700000 AreaPerIon=254.952506,,kiosk_validation,
6/13/2018 21:04,Detector Measurement v5,Setting detector voltage to 2208.700000,,kiosk_validation,
6/13/2018 21:04,Gas valve manager,Opening tune compound valve,,kiosk_validation,
6/13/2018 21:04,Tune compound valve schedule,Setting tune compound valve state to Open,,kiosk_validation,
6/13/2018 21:04,Filament schedule,Turning filament on,,kiosk_validation,
6/13/2018 21:04,Detector Measurement v5,Setting detector voltage to 2058.700000,,kiosk_validation,
6/13/2018 21:04,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/13/2018 21:04,Gas valve manager,Opening tune compound valve,,kiosk_validation,
6/13/2018 21:04,Power System,Finished switching to operational mode,,kiosk_validation,
6/13/2018 21:04,Power System,Began switching to operational mode,,kiosk_validation,
6/13/2018 21:04,Gas valve manager,Closing tune compound valve,,kiosk_validation,
6/13/2018 21:03,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/13/2018 21:03,Detector Measurement v5,Voltage=2208.700000 AreaPerIon=257.482334,,kiosk_validation,
6/13/2018 21:02,Detector Measurement v5,Setting detector voltage to 2208.700000,,kiosk_validation,
6/13/2018 21:02,Gas valve manager,Opening tune compound valve,,kiosk_validation,
6/13/2018 21:02,Tune compound valve schedule,Setting tune compound valve state to Open,,kiosk_validation,
6/13/2018 21:02,Filament schedule,Turning filament on,,kiosk_validation,
6/13/2018 21:02,Detector Measurement v5,Setting detector voltage to 2058.700000,,kiosk_validation,
6/13/2018 21:02,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/13/2018 17:45,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/13/2018 17:45,Detector Measurement v5,Voltage=2208.700000 AreaPerIon=264.500611,,kiosk_validation,
6/13/2018 17:44,Detector Measurement v5,Setting detector voltage to 2208.700000,,kiosk_validation,
6/13/2018 17:44,Detector Measurement v5,Setting detector voltage to 2058.700000,,kiosk_validation,
6/13/2018 17:44,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/13/2018 17:43,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/13/2018 17:43,Detector Measurement v5,Voltage=2208.700000 AreaPerIon=265.602440,,kiosk_validation,
6/13/2018 17:42,Detector Measurement v5,Setting detector voltage to 2208.700000,,kiosk_validation,
6/13/2018 17:41,Detector Measurement v5,Setting detector voltage to 2058.700000,,kiosk_validation,
6/13/2018 17:41,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/13/2018 17:41,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/13/2018 17:41,Detector Measurement v5,Voltage=2208.700000 AreaPerIon=267.942359,,kiosk_validation,
6/13/2018 17:40,Detector Measurement v5,Setting detector voltage to 2208.700000,,kiosk_validation,
6/13/2018 17:39,Detector Measurement v5,Setting detector voltage to 2058.700000,,kiosk_validation,
6/13/2018 17:39,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/13/2018 17:32,Gas valve manager,Opening tune compound valve,,kiosk_validation,
6/13/2018 17:32,Power System,Finished switching to operational mode,,kiosk_validation,
