Time,Object,Action,Details,User,Name
6/15/2018 12:08,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/15/2018 12:08,Detector Measurement v5,Voltage=2164.500000 AreaPerIon=248.423548,,kiosk_validation,
6/15/2018 12:06,Detector Measurement v5,Setting detector voltage to 2164.500000,,kiosk_validation,
6/15/2018 12:06,Detector Measurement v5,Setting detector voltage to 2014.500000,,kiosk_validation,
6/15/2018 12:06,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/15/2018 12:05,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/15/2018 12:05,Detector Measurement v5,Voltage=2164.500000 AreaPerIon=249.699884,,kiosk_validation,
6/15/2018 12:04,Detector Measurement v5,Setting detector voltage to 2164.500000,,kiosk_validation,
6/15/2018 12:04,Detector Measurement v5,Setting detector voltage to 2014.500000,,kiosk_validation,
6/15/2018 12:04,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/15/2018 12:03,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/15/2018 12:03,Detector Measurement v5,Voltage=2164.500000 AreaPerIon=250.066399,,kiosk_validation,
6/15/2018 12:02,Detector Measurement v5,Setting detector voltage to 2164.500000,,kiosk_validation,
6/15/2018 12:02,Detector Measurement v5,Setting detector voltage to 2014.500000,,kiosk_validation,
6/15/2018 12:02,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/15/2018 8:36,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/15/2018 8:36,Detector Measurement v5,Voltage=2164.500000 AreaPerIon=246.101726,,kiosk_validation,
6/15/2018 8:35,Detector Measurement v5,Setting detector voltage to 2164.500000,,kiosk_validation,
6/15/2018 8:35,Detector Measurement v5,Setting detector voltage to 2014.500000,,kiosk_validation,
6/15/2018 8:35,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/15/2018 8:34,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/15/2018 8:34,Detector Measurement v5,Voltage=2164.500000 AreaPerIon=246.055447,,kiosk_validation,
6/15/2018 8:33,Detector Measurement v5,Setting detector voltage to 2164.500000,,kiosk_validation,
6/15/2018 8:33,Detector Measurement v5,Setting detector voltage to 2014.500000,,kiosk_validation,
6/15/2018 8:33,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/15/2018 8:32,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/15/2018 8:32,Detector Measurement v5,Voltage=2164.500000 AreaPerIon=260.828091,,kiosk_validation,
6/15/2018 8:31,Detector Measurement v5,Setting detector voltage to 2164.500000,,kiosk_validation,
6/15/2018 8:31,Detector Measurement v5,Setting detector voltage to 2014.500000,,kiosk_validation,
6/15/2018 8:31,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/15/2018 5:06,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/15/2018 5:06,Detector Measurement v5,Voltage=2164.500000 AreaPerIon=252.852825,,kiosk_validation,
6/15/2018 5:05,Detector Measurement v5,Setting detector voltage to 2164.500000,,kiosk_validation,
6/15/2018 5:05,Gas valve manager,Opening tune compound valve,,kiosk_validation,
6/15/2018 5:05,Detector Measurement v5,Setting detector voltage to 2014.500000,,kiosk_validation,
6/15/2018 5:05,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/15/2018 5:04,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/15/2018 5:04,Detector Measurement v5,Voltage=2164.500000 AreaPerIon=246.471226,,kiosk_validation,
6/15/2018 5:03,Detector Measurement v5,Setting detector voltage to 2164.500000,,kiosk_validation,
6/15/2018 5:02,Detector Measurement v5,Setting detector voltage to 2014.500000,,kiosk_validation,
6/15/2018 5:02,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/15/2018 5:02,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/15/2018 5:02,Detector Measurement v5,Voltage=2164.500000 AreaPerIon=250.842234,,kiosk_validation,
6/15/2018 5:01,Detector Measurement v5,Setting detector voltage to 2164.500000,,kiosk_validation,
6/15/2018 5:00,Detector Measurement v5,Setting detector voltage to 2014.500000,,kiosk_validation,
6/15/2018 5:00,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/15/2018 1:34,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/15/2018 1:34,Detector Measurement v5,Voltage=2164.500000 AreaPerIon=248.127824,,kiosk_validation,
6/15/2018 1:33,Detector Measurement v5,Setting detector voltage to 2164.500000,,kiosk_validation,
6/15/2018 1:33,Detector Measurement v5,Setting detector voltage to 2014.500000,,kiosk_validation,
6/15/2018 1:33,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/15/2018 1:32,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/15/2018 1:32,Detector Measurement v5,Voltage=2164.500000 AreaPerIon=253.239275,,kiosk_validation,
6/15/2018 1:31,Detector Measurement v5,Setting detector voltage to 2164.500000,,kiosk_validation,
6/15/2018 1:31,Detector Measurement v5,Setting detector voltage to 2014.500000,,kiosk_validation,
6/15/2018 1:31,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/15/2018 1:30,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/15/2018 1:30,Detector Measurement v5,Voltage=2164.500000 AreaPerIon=255.477932,,kiosk_validation,
6/15/2018 1:29,Detector Measurement v5,Setting detector voltage to 2164.500000,,kiosk_validation,
6/15/2018 1:29,Detector Measurement v5,Setting detector voltage to 2014.500000,,kiosk_validation,
6/15/2018 1:29,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/14/2018 22:04,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/14/2018 22:04,Detector Measurement v5,Voltage=2164.500000 AreaPerIon=260.250729,,kiosk_validation,
6/14/2018 22:03,Detector Measurement v5,Setting detector voltage to 2164.500000,,kiosk_validation,
6/14/2018 22:02,Detector Measurement v5,Setting detector voltage to 2014.500000,,kiosk_validation,
6/14/2018 22:02,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/14/2018 22:02,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/14/2018 22:02,Detector Measurement v5,Voltage=2164.500000 AreaPerIon=253.230696,,kiosk_validation,
6/14/2018 22:01,Detector Measurement v5,Setting detector voltage to 2164.500000,,kiosk_validation,
6/14/2018 22:00,Detector Measurement v5,Setting detector voltage to 2014.500000,,kiosk_validation,
6/14/2018 22:00,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/14/2018 22:00,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/14/2018 22:00,Detector Measurement v5,Voltage=2164.500000 AreaPerIon=256.044465,,kiosk_validation,
6/14/2018 21:58,Detector Measurement v5,Setting detector voltage to 2164.500000,,kiosk_validation,
6/14/2018 21:58,Detector Measurement v5,Setting detector voltage to 2014.500000,,kiosk_validation,
6/14/2018 21:58,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/14/2018 18:33,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/14/2018 18:33,Detector Measurement v5,Voltage=2164.500000 AreaPerIon=264.349567,,kiosk_validation,
6/14/2018 18:32,Detector Measurement v5,Setting detector voltage to 2164.500000,,kiosk_validation,
6/14/2018 18:31,Detector Measurement v5,Setting detector voltage to 2014.500000,,kiosk_validation,
6/14/2018 18:31,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/14/2018 18:31,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/14/2018 18:31,Detector Measurement v5,Voltage=2164.500000 AreaPerIon=261.843507,,kiosk_validation,
6/14/2018 18:29,Detector Measurement v5,Setting detector voltage to 2164.500000,,kiosk_validation,
6/14/2018 18:29,Detector Measurement v5,Setting detector voltage to 2014.500000,,kiosk_validation,
6/14/2018 18:29,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/14/2018 18:29,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/14/2018 18:29,Detector Measurement v5,Voltage=2164.500000 AreaPerIon=256.057319,,kiosk_validation,
6/14/2018 18:27,Detector Measurement v5,Setting detector voltage to 2164.500000,,kiosk_validation,
6/14/2018 18:27,Detector Measurement v5,Setting detector voltage to 2014.500000,,kiosk_validation,
6/14/2018 18:27,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/14/2018 15:01,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/14/2018 15:01,Detector Measurement v5,Voltage=2164.500000 AreaPerIon=260.060097,,kiosk_validation,
6/14/2018 15:00,Detector Measurement v5,Setting detector voltage to 2164.500000,,kiosk_validation,
6/14/2018 14:59,Detector Measurement v5,Setting detector voltage to 2014.500000,,kiosk_validation,
6/14/2018 14:59,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/14/2018 14:59,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/14/2018 14:59,Detector Measurement v5,Voltage=2164.500000 AreaPerIon=262.409869,,kiosk_validation,
6/14/2018 14:57,Detector Measurement v5,Setting detector voltage to 2164.500000,,kiosk_validation,
6/14/2018 14:57,Detector Measurement v5,Setting detector voltage to 2014.500000,,kiosk_validation,
6/14/2018 14:57,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/14/2018 14:57,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/14/2018 14:57,Detector Measurement v5,Voltage=2164.500000 AreaPerIon=260.158531,,kiosk_validation,
6/14/2018 14:55,Detector Measurement v5,Setting detector voltage to 2164.500000,,kiosk_validation,
6/14/2018 14:55,Detector Measurement v5,Setting detector voltage to 2014.500000,,kiosk_validation,
6/14/2018 14:55,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/14/2018 11:30,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/14/2018 11:30,Detector Measurement v5,Voltage=2164.500000 AreaPerIon=260.439669,,kiosk_validation,
6/14/2018 11:28,Detector Measurement v5,Setting detector voltage to 2164.500000,,kiosk_validation,
6/14/2018 11:28,Detector Measurement v5,Setting detector voltage to 2014.500000,,kiosk_validation,
6/14/2018 11:28,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/14/2018 11:28,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/14/2018 11:28,Detector Measurement v5,Voltage=2164.500000 AreaPerIon=265.369810,,kiosk_validation,
6/14/2018 11:26,Detector Measurement v5,Setting detector voltage to 2164.500000,,kiosk_validation,
6/14/2018 11:26,Detector Measurement v5,Setting detector voltage to 2014.500000,,kiosk_validation,
6/14/2018 11:26,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/14/2018 11:25,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
