Name,Type,Area,Height,FWHH (s),Similarity,1st Dimension Time (s),2nd Dimension Time (s),Peak S/N,Quant S/N,Sample
Perfluoronaphthalene,Unknown,61883723,4882592,0.697,853,160.379,0.000,16478,8863,OFN_+250v_a L16-5000 pg/uL Split 250-1 (20 pg on Col) BT-PV1 1D:2
OFN,Target,74824644,5908381,0.775,816,160.407,0.000,7356,7645,OFN_+250v_a L16-5000 pg/uL Split 250-1 (20 pg on Col) BT-PV1 1D:2
