Name,Type,Area,Height,FWHH (s),Similarity,1st Dimension Time (s),2nd Dimension Time (s),Peak S/N,Quant S/N,Sample
OFN,Target,3974770778,255588039,0.928,809,160.407,0.000,150620,154640,OFN_+250v_a L22-500000 pg/uL Split 250-1 (2 ng on Col) BT-PV1 1D:5
Perfluoronaphthalene,Unknown,3203809616,203627838,0.910,829,160.414,0.000,75051,140454,OFN_+250v_a L22-500000 pg/uL Split 250-1 (2 ng on Col) BT-PV1 1D:5
