Name,Type,Area,Height,FWHH (s),Similarity,1st Dimension Time (s),2nd Dimension Time (s),Peak S/N,Quant S/N,Sample
OFN,Target,3952927606,253554324,0.930,808,160.407,0.000,116782,215078,OFN_+250v_a L22-500000 pg/uL Split 250-1 (2 ng on Col) BT-PV1 1D:4
Perfluoronaphthalene,Unknown,3185252186,201994402,0.912,838,160.433,0.000,25218,131781,OFN_+250v_a L22-500000 pg/uL Split 250-1 (2 ng on Col) BT-PV1 1D:4
