Name,Type,Area,Height,FWHH (s),Similarity,1st Dimension Time (s),2nd Dimension Time (s),Peak S/N,Quant S/N,Sample
Perfluoronaphthalene,Unknown,274121,20667,0.698,656,160.406,0.000,53,57,OFN_+250v_a L9-20 pg/uL Split 250-1 (80 fg on Col) BT-PV1 1D:2
OFN,Target,335235,25454,0.838,430,160.407,0.000,46,47,OFN_+250v_a L9-20 pg/uL Split 250-1 (80 fg on Col) BT-PV1 1D:2
