Name,Type,Area,Height,FWHH (s),Similarity,1st Dimension Time (s),2nd Dimension Time (s),Peak S/N,Quant S/N,Sample
OFN,Target,101606,6154,1.183,401,160.348,0.000,12,13,OFN_+250v_a L7-5 pg/uL Split 250-1 (20 fg on Col) BT-PV1 1D:8
Perfluoronaphthalene,Unknown,1123307,87433,0.860,53,160.454,0.000,13,5,OFN_+250v_a L7-5 pg/uL Split 250-1 (20 fg on Col) BT-PV1 1D:8
