Name,Type,Area,Height,FWHH (s),Similarity,1st Dimension Time (s),2nd Dimension Time (s),Peak S/N,Quant S/N,Sample
Perfluoronaphthalene,Unknown,11954200,941169,0.700,875,160.391,0.000,2379,1969,OFN_+250v_a L14-1000 pg/uL Split 250-1 (4 pg on Col) BT-PV1 1D
OFN,Target,14451471,1137644,0.774,798,160.407,0.000,1732,1670,OFN_+250v_a L14-1000 pg/uL Split 250-1 (4 pg on Col) BT-PV1 1D
