Name,Type,Area,Height,FWHH (s),Similarity,1st Dimension Time (s),2nd Dimension Time (s),Peak S/N,Quant S/N,Sample
Perfluoronaphthalene,Unknown,118710680,9370878,0.696,858,160.384,0.000,13660,16587,OFN_+250v_a L17-10000 pg/uL Split 250-1 (40 pg on Col) BT-PV1 1D
OFN,Target,143571435,11332974,0.774,825,160.407,0.000,13113,14864,OFN_+250v_a L17-10000 pg/uL Split 250-1 (40 pg on Col) BT-PV1 1D
