Name,Type,Area,Height,FWHH (s),Similarity,1st Dimension Time (s),2nd Dimension Time (s),Peak S/N,Quant S/N,Sample
OFN,Target,44932924,3601194,0.770,845,160.407,0.000,11585,11505,OFN_+250v_a L18-20000 pg/uL Split 250-1 (80 pg on Col) BT-PV1 1D:5
Perfluoronaphthalene,Unknown,36314183,2901022,0.697,893,160.417,0.000,1432,11049,OFN_+250v_a L18-20000 pg/uL Split 250-1 (80 pg on Col) BT-PV1 1D:5
