Name,Type,Area,Height,FWHH (s),Similarity,1st Dimension Time (s),2nd Dimension Time (s),Peak S/N,Quant S/N,Sample
OFN,Target,13875744,1079007,0.779,791,160.407,0.000,1746,1835,OFN_+250v_a L14-1000 pg/uL Split 250-1 (4 pg on Col) BT-PV1 1D:4
Perfluoronaphthalene,Unknown,11479647,892619,0.704,876,160.425,0.000,2068,2261,OFN_+250v_a L14-1000 pg/uL Split 250-1 (4 pg on Col) BT-PV1 1D:4
