Time,Object,Action,Details,User,Name
6/21/2018 23:44,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/21/2018 23:44,Detector Measurement v5,Voltage=2283.800000 AreaPerIon=387.697602,,kiosk_validation,
6/21/2018 23:43,Detector Measurement v5,Setting detector voltage to 2283.800000,,kiosk_validation,
6/21/2018 23:42,Detector Measurement v5,Setting detector voltage to 2033.800000,,kiosk_validation,
6/21/2018 23:42,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/21/2018 23:42,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/21/2018 23:42,Detector Measurement v5,Voltage=2283.800000 AreaPerIon=389.945926,,kiosk_validation,
6/21/2018 23:40,Detector Measurement v5,Setting detector voltage to 2283.800000,,kiosk_validation,
6/21/2018 23:40,Detector Measurement v5,Setting detector voltage to 2033.800000,,kiosk_validation,
6/21/2018 23:40,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/21/2018 23:39,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
6/21/2018 23:39,Detector Measurement v5,Voltage=2283.800000 AreaPerIon=384.004553,,kiosk_validation,
6/21/2018 23:38,Detector Measurement v5,Setting detector voltage to 2283.800000,,kiosk_validation,
6/21/2018 23:37,Detector Measurement v5,Setting detector voltage to 2033.800000,,kiosk_validation,
6/21/2018 23:37,Detector Measurement v5,Detector Measurement v5 starting.,,kiosk_validation,
6/21/2018 23:30,Gas valve manager,Opening tune compound valve,,kiosk_validation,
6/21/2018 23:30,Power System,Finished switching to operational mode,,kiosk_validation,
6/21/2018 23:30,Power System,Began switching to operational mode,,kiosk_validation,
6/21/2018 23:30,MS Method,A relative detector voltage setting of 250V could shorten detector life,,kiosk_validation,
6/21/2018 23:01,Filament schedule,Turning filament on,,kiosk_validation,
6/21/2018 22:59,Tune compound valve schedule,Setting tune compound valve state to Closed,,kiosk_validation,
6/21/2018 22:59,Filament schedule,Turning filament off,,kiosk_validation,
6/21/2018 22:53,Power System,Finished switching to operational mode,,kiosk_validation,
6/21/2018 22:52,Power System,Began switching to operational mode,,kiosk_validation,
6/21/2018 22:52,MS Method,A relative detector voltage setting of 250V could shorten detector life,,kiosk_validation,
6/21/2018 22:21,Filament schedule,Turning filament on,,kiosk_validation,
6/21/2018 20:18,Detector Measurement v5,Detector Measurement v5 completed successfully,,kiosk_validation,
