Name,Type,Area,Height,FWHH (s),Similarity,1st Dimension Time (s),2nd Dimension Time (s),Peak S/N,Quant S/N,Sample
OFN,Target,3956432121,255061698,0.926,795,160.407,0.000,132027,235722,OFN_+250v_a L22-500000 pg/uL Split 250-1 (2 ng on Col) BT-PV1 1D:3
Perfluoronaphthalene,Unknown,3184694898,202908243,0.910,830,160.413,0.000,10446,226729,OFN_+250v_a L22-500000 pg/uL Split 250-1 (2 ng on Col) BT-PV1 1D:3
