Name,Type,Area,Height,FWHH (s),Similarity,1st Dimension Time (s),2nd Dimension Time (s),Peak S/N,Quant S/N,Sample
Perfluoronaphthalene,Unknown,23877491,1860776,0.708,843,160.389,0.000,4237,3919,OFN_+250v_a L15-2000 pg/uL Split 250-1 (8 pg on Col) BT-PV1 1D
OFN,Target,28898942,2257723,0.783,805,160.407,0.000,3169,3278,OFN_+250v_a L15-2000 pg/uL Split 250-1 (8 pg on Col) BT-PV1 1D
