Name,Type,Area,Height,FWHH (s),Similarity,1st Dimension Time (s),2nd Dimension Time (s),Peak S/N,Quant S/N,Sample
OFN,Target,2947059,230112,0.786,719,160.407,0.000,371,360,OFN_+250v_a L12-200 pg/uL Split 250-1 (800 fg on Col) BT-PV1 1D
Perfluoronaphthalene,Unknown,2430909,189975,0.707,809,160.415,0.000,509,450,OFN_+250v_a L12-200 pg/uL Split 250-1 (800 fg on Col) BT-PV1 1D
