Name,Type,Area,Height,FWHH (s),Similarity,1st Dimension Time (s),2nd Dimension Time (s),Peak S/N,Quant S/N,Sample
OFN,Target,3929223688,253040795,0.927,809,160.407,0.000,124619,227324,OFN_+250v_a L22-500000 pg/uL Split 250-1 (2 ng on Col) BT-PV1 1D
Perfluoronaphthalene,Unknown,3161075809,201353064,0.910,835,160.417,0.000,15139,218828,OFN_+250v_a L22-500000 pg/uL Split 250-1 (2 ng on Col) BT-PV1 1D
