Name,Type,Area,Height,FWHH (s),Similarity,1st Dimension Time (s),2nd Dimension Time (s),Peak S/N,Quant S/N,Sample
OFN,Target,773483,59285,0.810,591,160.407,0.000,110,106,OFN_+250v_a L10-50 pg/uL Split 250-1 (200 fg on Col) BT-PV1 1D
Perfluoronaphthalene,Unknown,620588,47513,0.727,737,160.431,0.000,137,119,OFN_+250v_a L10-50 pg/uL Split 250-1 (200 fg on Col) BT-PV1 1D
