,inst,det_offset,ave_area,stddev_area,rsd_area,ave_height,stddev_height,rsd_height,ave_quant_sn,stddev_quant_sn,rsd_quant_sn,ave_similarity,stddev_similarity,rsd_similarity
0,PV1,0,763368.0,83611.0,10.95,40447.0,5393.0,13.33,29.8,3.493,11.72,575.0,92.9,16.16
1,PV2,0,1132417.0,50280.0,4.44,54798.0,1108.0,2.02,42.0,0.816,1.94,677.0,152.7,22.56
2,PV1,150,1571673.0,173407.0,11.03,78099.0,7435.0,9.52,33.8,1.924,5.69,495.4,95.6,19.29
3,PV2,150,2391996.0,95516.0,3.99,124261.0,4178.0,3.36,44.0,2.944,6.69,714.4,24.8,3.47
4,PV1,250,2276804.0,135620.0,5.96,108522.0,10784.0,9.94,29.2,1.924,6.59,551.3,39.6,7.18
5,PV2,250,4080683.0,416268.0,10.2,204193.0,13759.0,6.74,41.8,2.49,5.96,664.0,100.5,15.13
6,PV1,350,2642857.0,178109.0,6.74,134501.0,8785.0,6.53,30.0,1.871,6.24,505.6,106.9,21.14
7,PV2,350,2562000.0,191498.0,7.47,123749.0,6106.0,4.93,30.4,0.894,2.94,533.8,143.7,26.92
