,inst,offset_volts,idl,ave_area,stddev_area,rsd_area,ave_quant_sn,stddev_quant_sn,rsd_quant_sn,ave_similarity,stddev_similarity,rsd_similarity
0,PV1,0,0.036614,17699.7,9957.842627240545,56.26,7.7,3.7727090178455764,48.996,,,
1,PV2,0,0.0083151,26207.0,4151.550880609042,15.841,11.6,1.5946338585572373,13.747,,,
2,PV1,150,0.009674,57751.142857142855,10539.98487707,18.251,11.571428571428571,2.4718191903717615,21.361,388.0,106.1272820720478,27.352
3,PV2,150,0.0044855,118083.73333333334,10090.82706129,8.545,18.933333333333334,1.162919151265879,6.142,228.11111111111111,173.372030936686,76.003
4,PV1,250,0.0056418,97173.73333333334,10444.71558436,10.748,13.2,1.2071217242444348,9.145,325.8333333333333,207.598089265452,63.713
5,PV2,250,0.0046082,155902.4,13686.89812923,8.779,17.133333333333333,1.3557637102737476,7.913,244.125,130.765261332774,53.565
6,PV1,350,0.004696,109318.71428571429,9887.799307371542,9.045,9.785714285714286,0.5789342235218394,5.916,360.5,14.849242404917497,4.119
7,PV2,350,0.0033099,210786.26666666666,13291.98247853,6.306,19.0,1.3093073414159544,6.891,354.1818181818182,119.807193591886,33.826
